4811,205,53.78,2021-07-28T23:08:44.000-03:00
4810,205,60.75,2021-07-28T23:08:44.000-03:00
4801,718,1000.0,2021-07-28T20:19:32.000-03:00
4793,205,82.87,2021-07-28T17:16:18.000-03:00
4750,370,50.0,2021-07-28T10:56:27.000-03:00
4748,205,44.0,2021-07-28T10:35:31.000-03:00
4747,205,29.34,2021-07-28T10:35:31.000-03:00
4714,44,2.5,2021-07-26T22:01:08.000-03:00
4713,689,122.0,2021-07-26T20:02:07.000-03:00
4695,205,31.63,2021-07-25T18:10:30.000-03:00
4683,695,70.0,2021-07-25T11:49:26.000-03:00
4664,205,98.0,2021-07-24T23:02:23.000-03:00
4647,205,56.25,2021-07-24T06:05:46.000-03:00
4643,205,84.9,2021-07-24T02:35:03.000-03:00
4628,205,47.6,2021-07-23T19:10:54.000-03:00
4627,205,26.44,2021-07-23T19:10:54.000-03:00
4620,205,80.26,2021-07-22T23:39:52.000-03:00
4604,389,10.0,2021-07-21T21:50:42.000-03:00
4599,205,100.0,2021-07-21T20:59:10.000-03:00
4587,205,59.23,2021-07-19T01:11:13.000-03:00
4581,205,85.8,2021-07-18T22:31:38.000-03:00
4554,205,40.11,2021-07-17T21:27:02.000-03:00
4544,205,48.07,2021-07-17T15:34:30.000-03:00
4540,205,7.94,2021-07-17T15:18:32.000-03:00
4536,702,20.0,2021-07-17T13:26:04.000-03:00
4527,205,100.0,2021-07-17T12:05:56.000-03:00
4503,205,60.3,2021-07-16T19:11:03.000-03:00
4501,695,50.0,2021-07-16T18:43:04.000-03:00
4464,205,52.92,2021-07-14T23:29:23.000-03:00
4424,702,20.0,2021-07-13T13:18:56.000-03:00
4419,695,30.0,2021-07-12T18:00:35.000-03:00
4408,690,5.1,2021-07-11T19:11:57.000-03:00
4385,690,100.1,2021-07-10T20:08:21.000-03:00
4368,690,150.0,2021-07-10T18:06:53.000-03:00
4357,690,100.0,2021-07-10T17:51:44.000-03:00
4355,431,1100.0,2021-07-10T17:34:23.000-03:00
4350,695,50.0,2021-07-10T14:40:18.000-03:00
4337,690,100.0,2021-07-10T09:50:53.000-03:00
4327,690,50.0,2021-07-09T18:19:38.000-03:00
4322,690,100.0,2021-07-09T13:37:40.000-03:00
4309,690,100.0,2021-07-09T09:49:36.000-03:00
4296,690,100.0,2021-07-08T16:24:53.000-03:00
4280,370,50.0,2021-07-07T22:53:08.000-03:00
4278,690,100.0,2021-07-07T22:52:28.000-03:00
4253,690,100.0,2021-07-06T18:12:56.000-03:00
4246,695,50.0,2021-07-06T14:46:41.000-03:00
4241,690,101.6,2021-07-06T14:05:06.000-03:00
4231,690,70.0,2021-07-06T09:58:06.000-03:00
4229,689,2.0,2021-07-06T09:55:18.000-03:00
4218,690,50.0,2021-07-05T18:35:52.000-03:00
4206,690,100.0,2021-07-05T15:34:32.000-03:00
4196,690,75.0,2021-07-05T09:39:05.000-03:00
4174,690,100.0,2021-07-04T12:33:35.000-03:00
4171,431,1100.0,2021-07-04T11:25:05.000-03:00
4160,690,100.0,2021-07-04T07:59:56.000-03:00
4147,702,20.0,2021-07-03T17:54:53.000-03:00
4142,690,50.0,2021-07-03T14:18:27.000-03:00
4127,695,50.0,2021-07-03T13:06:08.000-03:00
4125,690,100.0,2021-07-03T11:52:26.000-03:00
4113,690,100.0,2021-07-03T10:13:00.000-03:00
4105,690,70.0,2021-07-02T17:40:26.000-03:00
4094,690,100.0,2021-07-02T12:25:29.000-03:00
4078,690,100.7,2021-07-02T08:35:28.000-03:00
4055,690,150.0,2021-07-01T11:05:38.000-03:00
3945,690,1706.25,2021-06-28T19:11:03.000-03:00
3899,690,110.8,2021-06-27T10:54:51.000-03:00
3885,690,70.0,2021-06-26T18:52:46.000-03:00
3883,690,510.0,2021-06-26T18:12:58.000-03:00
